manager,cluster_id,points_count,diameter_km,time_hours,center_lat,center_lon
0,22,12,2.4,0.08,56.30815,44.05741
0,21,12,2.9,0.1,56.29413,44.00127
0,11,12,3.0,0.1,56.30194,43.98557
0,19,12,3.1,0.1,56.31135,44.03152
0,33,9,3.2,0.11,56.30187,43.99597
0,0,12,4.0,0.13,56.29418,44.04232
0,14,12,5.1,0.17,56.25103,43.46357
0,3,12,6.4,0.21,56.31725,43.99309
0,17,12,6.9,0.23,56.28212,44.0788
0,20,12,7.7,0.26,56.25608,43.96742
0,7,12,7.8,0.26,56.27105,44.00021
0,18,12,7.9,0.26,56.2501,44.00759
0,27,12,9.2,0.31,56.29088,44.02392
0,1,12,9.6,0.32,56.21632,44.10922
0,9,12,10.2,0.34,56.26423,44.00584
0,2,12,17.6,0.59,56.24092,43.95937
0,12,12,17.7,0.59,56.17606,44.15536
0,30,12,19.0,0.63,56.21458,44.07391
0,13,12,19.2,0.64,56.16576,44.14284
0,25,12,19.4,0.65,56.24492,43.39323
0,29,12,27.7,0.92,56.23951,43.87914
0,15,12,32.6,1.09,56.22771,43.56911
1,20,12,1.3,0.04,56.24582,43.8702
1,21,12,2.1,0.07,56.26553,43.85556
1,27,2,2.7,0.09,56.24886,43.90303
1,15,12,2.8,0.09,56.25929,43.91878
1,17,12,3.0,0.1,56.28643,43.89836
1,9,12,3.6,0.12,56.2545,43.89476
1,19,12,3.8,0.13,56.30534,43.94434
1,16,12,3.9,0.13,56.22178,43.83012
1,10,12,4.1,0.14,56.25226,43.8641
1,12,12,4.2,0.14,56.24276,43.83441
1,5,12,4.4,0.15,56.26723,43.88041
1,18,12,4.6,0.15,55.33032,42.16981
1,4,12,4.7,0.16,56.27474,43.91513
1,7,12,4.9,0.16,56.24733,43.92775
1,13,12,5.0,0.17,56.23116,43.87472
1,6,12,5.0,0.17,56.22963,43.81533
1,25,12,7.0,0.23,56.28596,43.90261
1,11,12,7.4,0.25,56.27325,43.94867
1,8,12,7.8,0.26,56.24181,43.91478
1,22,12,8.6,0.29,56.27478,43.90105
1,24,12,8.8,0.29,56.26002,43.94193
1,3,12,9.7,0.32,56.29522,43.84934
2,21,12,1.4,0.05,56.29703,43.92712
2,20,12,2.5,0.08,56.31784,43.93149
2,12,12,2.8,0.09,56.36111,43.85176
2,0,12,2.9,0.1,56.31075,43.90344
2,16,12,3.3,0.11,56.34235,43.91402
2,17,12,3.5,0.12,56.35614,43.80301
2,19,12,3.8,0.13,56.35179,43.86892
2,9,12,4.4,0.15,56.3168,43.86012
2,8,12,4.6,0.15,56.31567,43.88851
2,32,10,8.0,0.27,55.96186,43.08681
2,25,12,8.2,0.27,56.32247,43.8995
2,7,12,10.1,0.34,56.35161,43.87369
2,28,12,10.6,0.35,56.35581,43.85314
2,2,12,12.5,0.42,56.33443,44.03592
2,13,12,12.6,0.42,56.36178,44.05168
2,29,12,13.3,0.44,56.35794,43.98366
2,27,12,13.3,0.44,56.3478,43.82274
2,4,12,15.4,0.51,56.32606,43.97091
2,14,12,17.2,0.57,56.33203,43.78896
2,5,12,17.4,0.58,56.42927,43.70573
2,3,12,33.0,1.1,56.45382,43.62877
2,18,12,37.5,1.25,56.12644,43.54547
