point_id,manager,visit_day,cluster_id,order_in_route,visits_per_month,cluster_diameter_km,cluster_time_hours
ID95,0,1,day1_m0_c15,1,2,32.6,1.09
ID96,0,1,day1_m0_c15,2,2,32.6,1.09
ID97,0,1,day1_m0_c15,3,2,32.6,1.09
ID159,0,1,day1_m0_c15,4,2,32.6,1.09
ID129,0,1,day1_m0_c15,5,2,32.6,1.09
ID226,0,1,day1_m0_c15,6,1,32.6,1.09
ID160,0,1,day1_m0_c15,7,2,32.6,1.09
ID161,0,1,day1_m0_c15,8,2,32.6,1.09
ID128,0,1,day1_m0_c15,9,2,32.6,1.09
ID127,0,1,day1_m0_c15,10,2,32.6,1.09
ID130,0,1,day1_m0_c15,11,2,32.6,1.09
ID158,0,1,day1_m0_c15,12,2,32.6,1.09
ID305,1,1,day1_m1_c3,1,2,9.7,0.32
ID306,1,1,day1_m1_c3,2,2,9.7,0.32
ID309,1,1,day1_m1_c3,3,2,9.7,0.32
ID307,1,1,day1_m1_c3,4,2,9.7,0.32
ID406,1,1,day1_m1_c3,5,2,9.7,0.32
ID330,1,1,day1_m1_c3,6,2,9.7,0.32
ID332,1,1,day1_m1_c3,7,1,9.7,0.32
ID331,1,1,day1_m1_c3,8,1,9.7,0.32
ID405,1,1,day1_m1_c3,9,2,9.7,0.32
ID329,1,1,day1_m1_c3,10,2,9.7,0.32
ID407,1,1,day1_m1_c3,11,2,9.7,0.32
ID333,1,1,day1_m1_c3,12,2,9.7,0.32
ID471,2,1,day1_m2_c18,1,2,37.5,1.25
ID611,2,1,day1_m2_c18,2,1,37.5,1.25
ID509,2,1,day1_m2_c18,3,2,37.5,1.25
ID606,2,1,day1_m2_c18,4,2,37.5,1.25
ID607,2,1,day1_m2_c18,5,2,37.5,1.25
ID493,2,1,day1_m2_c18,6,2,37.5,1.25
ID494,2,1,day1_m2_c18,7,2,37.5,1.25
ID608,2,1,day1_m2_c18,8,2,37.5,1.25
ID495,2,1,day1_m2_c18,9,2,37.5,1.25
ID609,2,1,day1_m2_c18,10,2,37.5,1.25
ID496,2,1,day1_m2_c18,11,2,37.5,1.25
ID610,2,1,day1_m2_c18,12,2,37.5,1.25
ID194,0,2,day2_m0_c29,1,2,27.7,0.92
ID195,0,2,day2_m0_c29,2,2,27.7,0.92
ID204,0,2,day2_m0_c29,3,2,27.7,0.92
ID206,0,2,day2_m0_c29,4,2,27.7,0.92
ID203,0,2,day2_m0_c29,5,2,27.7,0.92
